feature,importance_mean,importance_std
cycles_since_install,0.18538913657065884,0.015860444891422628
malfunction_severity,0.02141283517223687,0.0019978862885188784
component_type,0.013440967990249547,0.0036610423294791018
malfunction_count,0.007465700975046521,0.002995390253139554
humidity,0.0027628656424402154,0.0018713492825281602
wear_index,0.0024711936301238246,0.001800608384178227
cabin_temperature,0.0023514176663031877,0.0008347184843621613
passenger_load,0.001373664923984913,0.0012163112397372527
flight_duration_hr,0.00024055423696198175,0.0005632050902195168
aircraft_type,-0.00033427015844500474,0.000702835240656693
aircraft_age_cycles,-0.00046406921547237356,0.0014168821959593461
environmental_stress,-0.0008299121175187191,0.000428266493835458
