feature,importance_mean,importance_std
inventory_shortage,0.1975271223279997,0.013639547114650586
malfunction_severity,0.16306312074538296,0.011709237618797901
weather_disturbance,0.08963840267437806,0.005871332067880515
passenger_load,0.08361279354440435,0.010748952510928451
malfunction_count,0.05305022610663129,0.006079723273288341
gate_congestion,0.05001294308574003,0.0082771080713376
refueling_required,0.044387725091766986,0.004994249881300479
arrival_delay,0.04033215366552409,0.007036394324692046
assistance_request,0.02197523503474985,0.006726548664566211
route_class,0.007507285480557929,0.006308489209431356
aircraft_type,0.004070040175151668,0.004272476902034818
