module,task,target,provenance,selected_model,development_metric_name,development_metric_value,holdout_metrics,top_features,split_policy,limitations
Predictive maintenance,maintenance_failure_probability,failure_next_n_flights,Trained ML inference,Logistic Regression,ROC-AUC,0.7308,"{""accuracy"": 0.682, ""f1"": 0.6918604651162791, ""precision"": 0.702755905511811, ""recall"": 0.6812977099236641, ""roc_auc"": 0.7396641862852011}",cycles_since_install; malfunction_severity; component_type; malfunction_count; humidity,Fixed 80% development / 20% holdout test; CV and tuning restricted to development split.,Outputs remain tied to synthetic but operationally grounded data and should not be claimed as certified maintenance planning performance.
Predictive maintenance,maintenance_urgency_classification,urgency_class,Trained ML inference,Logistic Regression,macro F1,0.8422,"{""accuracy"": 0.854, ""brier_score"": 0.20760252041816488, ""f1_macro"": 0.856759035296025, ""precision_macro"": 0.8559927596769703, ""recall_macro"": 0.8579098370638047, ""roc_auc_ovr"": 0.9757114145639457}",cycles_since_install; malfunction_severity; component_type; wear_index; malfunction_count,Fixed 80% development / 20% holdout test; CV and tuning restricted to development split.,Outputs remain tied to synthetic but operationally grounded data and should not be claimed as certified maintenance planning performance.
Predictive maintenance,maintenance_remaining_flights_regression,remaining_flights_estimate,Trained ML inference,Gradient Boosting Regressor,RMSE,4.0612,"{""mae"": 3.1503500541352807, ""r2"": 0.9253631031547416, ""rmse"": 4.0198511705348885}",cycles_since_install; malfunction_severity; component_type; malfunction_count; wear_index,Fixed 80% development / 20% holdout test; CV and tuning restricted to development split.,Outputs remain tied to synthetic but operationally grounded data and should not be claimed as certified maintenance planning performance.
Inventory intelligence,inventory_risk_level_classification,risk_level,Trained ML inference,Logistic Regression,macro F1,0.7219,"{""accuracy"": 0.749, ""brier_score"": 0.3370698128325674, ""f1_macro"": 0.7479547824002486, ""precision_macro"": 0.7550183455360201, ""recall_macro"": 0.7443225676951238, ""roc_auc_ovr"": 0.9033435894517369}",trolley_availability; turnaround_pressure; route_class; shortage_score; item_criticality,Fixed 80% development / 20% holdout test; CV and tuning restricted to development split.,Model outputs remain limited by synthetic data assumptions and should not be claimed as airline-validated performance.
Bottleneck prediction,turnaround_bottleneck_classification,dominant_bottleneck,Trained ML inference,Logistic Regression,macro F1,0.7153,"{""accuracy"": 0.73, ""brier_score"": 0.35571872503434326, ""f1_macro"": 0.6957294203389757, ""precision_macro"": 0.6924247190669616, ""recall_macro"": 0.702205084523835, ""roc_auc_ovr"": 0.9405370138435647}",inventory_shortage; malfunction_severity; weather_disturbance; passenger_load; malfunction_count,Fixed 80% development / 20% holdout test; CV and tuning restricted to development split.,Probability quality is still bounded by synthetic scenario assumptions and should be treated as decision-support only.
