regime,scenario_count,mean_readiness,median_readiness,mean_maintenance_failure_probability,mean_inventory_shortage_risk,mean_action_queue_size,top_action_categories,dominant_bottleneck_mode,assistance_confirmed_mean_readiness,assistance_unconfirmed_mean_readiness,assistance_not_required_mean_readiness,assistance_confirmed_minus_unconfirmed,assistance_not_required_minus_unconfirmed,alert_routine_count,alert_routine_share,alert_watch_count,alert_watch_share,alert_priority_count,alert_priority_share,alert_critical_count,alert_critical_share,bottleneck_maintenance_count,bottleneck_catering_count,bottleneck_cleaning_count,bottleneck_boarding_count,bottleneck_refueling_count
assistance_readiness,166,66.58,65.5,0.247,0.302,3.97,"Gate/Turnaround (230), Operator oversight (166), OCC coordination (149)",Boarding,72.09,63.46,,8.63,,21,0.127,139,0.837,6,0.036,0,0.0,0,0,0,164,2
composite_multi_risk,166,8.77,5.0,0.784,0.872,6.37,"Maintenance (332), Inventory/Catering (178), Gate/Turnaround (170)",Maintenance,10.0,5.2,10.26,4.8,5.05,0,0.0,0,0.0,0,0.0,166,1.0,152,12,0,2,0
congestion_delay_heavy,167,45.78,46.4,0.287,0.758,5.37,"Gate/Turnaround (314), Inventory/Catering (172), OCC coordination (167)",Boarding,41.56,35.01,46.96,6.54,11.95,0,0.0,13,0.078,124,0.743,30,0.18,0,7,15,90,55
inventory_heavy,167,54.62,56.2,0.288,0.869,4.6,"Inventory/Catering (334), OCC coordination (167), Operator oversight (167)",Catering,54.26,47.03,55.57,7.23,8.54,0,0.0,6,0.036,154,0.922,7,0.042,0,167,0,0,0
low_risk_routine,167,82.34,82.4,0.151,0.2,2.22,"Operator oversight (167), Cleaning (118), OCC coordination (36)",Cleaning,,,82.34,,,167,1.0,0,0.0,0,0.0,0,0.0,0,0,118,30,19
maintenance_heavy,167,26.17,26.6,0.884,0.365,5.1,"Maintenance (334), OCC coordination (167), Operator oversight (167)",Maintenance,26.6,17.29,27.12,9.31,9.83,0,0.0,0,0.0,0,0.0,167,1.0,167,0,0,0,0
